Designator,Mid X,Mid Y,Rotation,Layer
AE1,171.245,-113.792,0.0,top
C1,144.28,-93.011,0.0,top
C10,144.788,-94.535,90.0,top
C11,145.91,-88.82774,90.0,top
C12,156.35,-96.0,90.0,top
C13,130.45,-105.45,90.0,top
C14,130.45,-109.3,90.0,top
C15,126.8325,-87.1525,270.0,top
C16,129.3725,-92.3595,180.0,top
C17,131.9125,-85.6285,0.0,top
C18,129.8805,-85.6285,0.0,top
C19,141.25,-101.65,180.0,top
C2,141.5548,-90.79134,90.0,top
C20,166.7075,-97.7,180.0,top
C21,139.3,-101.65,0.0,top
C23,134.0375,-79.425,0.0,top
C24,134.1375,-81.375,0.0,top
C3,141.0,-93.02854,90.0,top
C4,147.25,-85.875,0.0,top
C5,144.91,-88.82774,90.0,top
C6,155.278,-95.9988,270.0,top
C7,155.378,-89.14854,270.0,top
C8,147.2,-87.2,0.0,top
C9,143.645,-94.535,90.0,top
D1,127.5,-109.442,90.0,top
D10,160.9,-72.35,0.0,top
D11,154.6675,-119.25,0.0,top
D12,159.8,-125.575,270.0,top
D13,158.4,-125.575,270.0,top
D14,140.8,-120.9,180.0,top
D15,143.95,-119.15,180.0,top
D16,154.55,-79.7,0.0,top
D17,157.25,-81.35,0.0,top
D18,151.6,-80.85,270.0,top
D19,149.65,-79.8,0.0,top
D2,168.168,-82.5,90.0,top
D20,147.05,-79.675,180.0,top
D21,126.25,-102.4,270.0,top
D22,126.35,-99.1,90.0,top
D23,124.25,-93.425,0.0,top
D3,169.95,-82.5,90.0,top
D4,141.4,-112.75,90.0,top
D5,169.0,-95.65,90.0,top
D6,168.9,-99.375,270.0,top
D7,139.6,-72.175,180.0,top
D8,133.25,-77.6,180.0,top
D9,159.0,-72.35,180.0,top
FB1,143.172,-97.49654,0.0,top
FB2,137.55,-102.4,90.0,top
J1,123.82774,-99.8788,180.0,top
J2,174.6275,-99.55,90.0,top
J3,150.0,-121.86,0.0,top
J6,150.0,-77.15,180.0,top
J7,161.8,-75.55,0.0,top
J8,138.2,-75.5,0.0,top
R1,170.53476,-100.5012,90.0,top
R10,146.65,-100.05,270.0,top
R11,147.65,-100.05,270.0,top
R12,147.0,-82.9,270.0,top
R13,148.05,-82.91,270.0,top
R14,144.4,-86.5,0.0,top
R15,164.2,-100.5,90.0,top
R16,165.35,-100.5,90.0,top
R2,170.8,-96.75,270.0,top
R3,128.3,-111.7295,0.0,top
R4,129.3725,-93.6295,0.0,top
R5,141.75,-103.15,270.0,top
R6,141.65,-110.25,90.0,top
R7,168.7575,-88.75,90.0,top
R8,168.168,-85.0375,270.0,top
R9,169.95,-85.0375,270.0,top
U1,150.6,-92.04974,90.0,top
U2,136.6,-107.6,180.0,top
U3,136.4875,-80.425,0.0,top
U4,130.6625,-89.45,0.0,top
U5,165.3225,-92.45,180.0,top
U6,151.55,-109.4,0.0,top
Y1,138.7608,-91.80734,270.0,top
Y2,130.1345,-83.7235,180.0,top
