Designator,Footprint,Quantity,Value,LCSC Part #
AE1,U.FL_Molex_MCRF_73412-0110_Vertical,1,Antenna,C5137195
"C1, C15, C16, C19, C20, C23, C24, C5, C6, C7, C8",0402,11,100nF,C307331
"C10, C11, C21",0402,3,1uF,C52923
C12,0402,1,2.2uF,C12530
"C13, C14",0805,2,22uF,C5674
"C17, C18",0402,2,22pF,C466226
"C2, C3",0402,2,10pF,C32949
C4,0603,1,10uF,C19702
C9,0402,1,10nF,C15195
"D1, D2",0603,2,LED,C12624
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D22, D23, D5, D6, D7, D8, D9",0402,19,PESD3V3U1UL,
D3,0603,1,LED,C2288
D4,0603,1,LED,C2290
FB1,0603,1,120R,C85831
FB2,0603,1,600R,C88976
"H1, H2, H3, H4",MountingHole_2.2mm_M2,4,MountingHole,
J1,PinHeader_1x04_P2.54mm_Vertical,1,SWD,C3025061
J2,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
J3,Molex_200528-0080_1x08-1MP_P1.00mm_Horizontal,1,FC_M/P,C132510
J4,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,1,5V,
J5,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,1,GND,
J6,Molex_200528-0080_1x08-1MP_P1.00mm_Horizontal,1,FC_RF,C132510
"J7, J8",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,2,Conn_01x04_Pin,C160390
"R1, R2",0402,2,5.11k,C25906
"R10, R11",0402,2,470,0402WGJ0471TCE 
"R12, R13, R15, R16",0402,4,4.7k,C119339
"R14, R4, R5, R7",0402,4,10k,C60490
"R3, R8, R9",0402,3,1k,C11702
R6,0402,1,470,0402WGJ0471TCE
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F401CCU6,C79861
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U3,XDCR_BMP280,1,BMP280,C83291
U4,LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,C93216
U5,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q32JVSS,C82344
U6,XCVR_CD-PA1616D,1,PA1616S,C9900146965
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz, C32346
